CodigoProduto,DescricaoProduto,TipoEmbalagem,Unidade,CodDepartamento,DescricaoDepartamento,CodSecao,DescricaoSecao,InformacoesTecnicasV1,CodMarca,Marca,CodUnidade,QtdeEmbalagem,PesoEmbalagemUnitaria
259,PALMITO PICADO PALM.REAL ,1.8KG,UN,2,ALIMENTOS,204,CONSERVA SALGADA/ENLATADOS,1.8KG,574,RIO CERRO,2,1,1.8
268,CEREJA MARASQUINO SAINTPAUL S/TALO ,"2,2KG LATA",UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,"2,2KG LATA",370,"SAINT PAUL,SANT PAUL",2,1,2.2
289,AGUA SANITARIA 5L,3X5L,CX,5,LIMPEZA,502,AGUA SANITARIA/ALVEJANTE,3X5L,347,"QBOA,Q.BOA",3,3,5.0
314,ISQUEIRO MINI COLOR C/12,12X1,CT,7,UTILIDADES,716,ISQUEIRO,12UN,37,BIC,5,0,1.0
315,ISQUEIRO MAXI COLOR C/12,12X1,CT,7,UTILIDADES,716,ISQUEIRO,12UN,37,BIC,5,0,1.0
316,BOLO D.BENTA FUBA,450G,UN,2,ALIMENTOS,228,MISTURA/MISTURA BOLO,450G,141,DONA BENTA,2,1,0.45
318,COND. CHEIRO VERDE DESIDRATADA,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
339,FEIJAO CARIOCA TIPO-1,10X1KG,FD,2,ALIMENTOS,240,CEREAL,10X1KG,72,CALDAO,1,10,1.0
367,FEIJAO PRETO TIPO-1,10X1KG,FD,2,ALIMENTOS,240,CEREAL,10X1KG,72,CALDAO,1,10,1.0
368,FEIJAO VERMELHO TIPO-1,10X1KG,FD,2,ALIMENTOS,240,CEREAL,10X1KG,72,CALDAO,1,10,1.0
394,BOLO D.BENTA CENOURA,450G,UN,2,ALIMENTOS,228,MISTURA/MISTURA BOLO,450G,141,DONA BENTA,2,1,0.45
397,COND. COLORIFICO (COLORAU) 100G,30X100G,FD,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,30X100G,393,SINHA,1,30,0.1
420,ACUCAR REFINADO,5X5KG,FD,2,ALIMENTOS,254,ACUCAR,5X5KG,450,UNIAO,1,5,5.0
421,ACUCAR REFINADO,10X1KG,FD,2,ALIMENTOS,254,ACUCAR,10X1KG,450,UNIAO,1,10,1.0
434,VINAGRE BALSAMICO,500ML,UN,2,ALIMENTOS,252,VINAGRE/ACETO,500ML,15,ANDALUZIA,2,1,0.5
445,GELEIA AMORA ,230G,UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,230G,370,"SAINT PAUL,SANT PAUL",2,1,0.23
446,GELEIA MORANGO ,230G,UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,230G,370,"SAINT PAUL,SANT PAUL",2,1,0.23
447,GELEIA ABACAXI ,230G,UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,230G,370,"SAINT PAUL,SANT PAUL",2,1,0.23
448,GELEIA UVA ,230G,UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,230G,370,"SAINT PAUL,SANT PAUL",2,1,0.23
449,GELEIA PESSEGO ,230G,UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,230G,370,"SAINT PAUL,SANT PAUL",2,1,0.23
463,GERGELIM BRANCO S/CASCA,500G,UN,2,ALIMENTOS,240,CEREAL,500G - DESCASCADO,24,ATACAMA,2,1,0.5
467,AMEIXA EM CALDA ,400G,UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,400G,15,ANDALUZIA,2,1,0.4
473,COGUMELO FAT.TP-1 ,"1,1KG",UN,2,ALIMENTOS,204,CONSERVA SALGADA/ENLATADOS,,5,"ALDEIA DA SERRA,ALDEIA SERRA",2,1,1.1
489,FARINHA MILHO,1KG,UN,2,ALIMENTOS,268,FARINHA/FARINACEOS,1KG,209,JARAGUA,2,1,1.0
512,GOIABADA ,300G,UN,2,ALIMENTOS,202,CONSERVA DOCE/ENLATADOS,,336,PREDILECTA,2,1,0.3
514,COND. ALHO FLOCOS DESID.,500G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,500G,208,JANDIRA,2,1,0.5
516,COND. PAPRICA DOCE,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
529,AZEITE COMPOSTO ,500ML,UN,2,ALIMENTOS,216,AZEITE,,629,MARIA,2,1,0.5
542,MOLHO TOMATE ,"3,1KG",UN,2,ALIMENTOS,212,ATOMATADO/CATCHUP,,336,PREDILECTA,2,1,3.1
552,AZEITE COMPOSTO ,"5,01L",UN,2,ALIMENTOS,216,AZEITE,90% OLEO DE SOJA 10% AZEITE DE OLIVA EXTRA VIRGEM,83,"CASA PORTUGUESA,CASA PORT.",2,1,5.01
553,DESINF. TALCO,2L,UN,5,LIMPEZA,526,DESINFETANTE,2L,177,"GIRANDO SOL,GIR.SOL",2,1,2.0
557,M. LASANHA C/OVOS,500G,UN,2,ALIMENTOS,224,MASSA,500G,141,DONA BENTA,2,1,0.5
559,MAC.G.DURO PARAFUSO,500G,UN,2,ALIMENTOS,224,MASSA,500G,324,PETYBON,2,1,0.5
561,GUARDAN.14X14CM ,C/5000,CX,6,EMBALAGENS/DESCARTAVEIS,640,GUARDANAPO,,366,"ROSA,ROS",3,5000,1.0
564,FILME PVC 28CM X 300M 9MICR,1,UN,6,EMBALAGENS/DESCARTAVEIS,620,FILME PVC,,59,BRASPRATICK,2,1,1.0
569,OLEO CANOLA,900ML,UN,2,ALIMENTOS,220,GORDURA/OLEO ESPECIAIS,,630,"LIZA,LIZA",2,1,0.9
572,OLEO GIRASSOL,900ML,UN,2,ALIMENTOS,220,GORDURA/OLEO ESPECIAIS,,630,"LIZA,LIZA",2,1,0.9
573,OLEO MILHO,900ML,UN,2,ALIMENTOS,220,GORDURA/OLEO ESPECIAIS,,630,"LIZA,LIZA",2,1,0.9
578,PALITO DENTAL MAD.,25X100UN,FD,6,EMBALAGENS/DESCARTAVEIS,642,PALITO/ESPETINHO,CAIXINHA PAPEL,176,GINA,1,2500,1.0
591,AZEITE COMPOSTO ,200ML,UN,2,ALIMENTOS,216,AZEITE,,629,MARIA,2,1,0.2
609,COPO PL. 80ML BRANCA CF080,C/100,TR,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,PS,110,COPOBRAS,6,100,1.0
610,COPO PL.110ML BRANCA CF110,C/100,TR,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,PS,110,COPOBRAS,6,100,1.0
617,LIMPA BRILHA ALUM/INOX,500ML,UN,5,LIMPEZA,512,LIMPADOR,500ML,61,BRILHOLAC,2,1,0.5
622,COPO PL.180ML BRANCA CF180,C/100,TR,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,PP,110,COPOBRAS,6,100,1.0
624,FOSFORO PINHEIRO,20X10,PT,7,UTILIDADES,714,FOSFORO,,161,"FIAT LUX,FIAT LUX",7,200,1.0
625,COPO PL.200ML BRANCA CF200,C/100,TR,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,PP,110,COPOBRAS,6,100,1.0
626,HAMBURG.ISOP.101,C/200,FD,6,EMBALAGENS/DESCARTAVEIS,614,LANCHEIRA ISOPOR,"COMP 23,5 LARG 16 ALT 7,5CM - CAP.700G",110,COPOBRAS,1,200,1.0
627,COPO PL.300ML BRANCA CF300,C/100,TR,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,PP,110,COPOBRAS,6,100,1.0
631,COPO PL.400ML TRAN. CFT400,C/50,TR,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,TAMPA COMPATIVEL TPT550 E C/FURO - TPB550 C/ E S/FURO,110,COPOBRAS,6,50,1.0
633,COPO PL.500ML TRAN. CFT500,C/50,TR,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,TAMPA COMPATIVEL TPT550 E C/FURO - TPB550 C/E S/ FURO,110,COPOBRAS,6,50,1.0
641,GARFO PL.FORTE BRANCA 506,C/50,PT,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,C/50-GSB506,408,"STRAWPLAST,STRAW.",7,50,1.0
646,COLHER PL.SOBR.BRANCA 620,C/50,PT,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,C/50-CSB620,408,"STRAWPLAST,STRAW.",7,50,1.0
655,MAC.SEMOLA D.BENTA ESPAGUETE,12X1KG,FD,2,ALIMENTOS,224,MASSA,12X1KG,141,DONA BENTA,1,12,1.0
671,PRATO ISOP.DECORADO 34CM MP34,C/100,FD,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,"DIAM 34 ALT 2,6CM",671,MEIWA,1,100,1.0
677,MOLHO BRANCO ,500G,UN,2,ALIMENTOS,206,MOLHO,DILUIÇAO: LEITE - RENDE 5 LITROS,307,NUTRIMENTAL,2,1,0.5
696,"GORD.CHEF 14,5G BD","14,5KG",BD,2,ALIMENTOS,220,GORDURA/OLEO ESPECIAIS,,632,MAZOLA,8,1,14.5
705,DESINF. EUCALIPTO,5L,UN,5,LIMPEZA,526,DESINFETANTE,5L,177,"GIRANDO SOL,GIR.SOL",2,1,5.0
707,AGUA SANITARIA VERDE,5L,UN,5,LIMPEZA,502,AGUA SANITARIA/ALVEJANTE,5L,177,"GIRANDO SOL,GIR.SOL",2,1,5.0
729,MOLHO SALADA CASEIRO,234ML,UN,2,ALIMENTOS,206,MOLHO,234ML,630,"LIZA,LIZA",2,1,0.234
730,MOLHO SALADA ROSE,234ML,UN,2,ALIMENTOS,206,MOLHO,234ML,630,"LIZA,LIZA",2,1,0.234
731,MOLHO SALADA QUEIJOS,234ML,UN,2,ALIMENTOS,206,MOLHO,234ML,630,"LIZA,LIZA",2,1,0.234
738,POLVILHO DOCE,500G,UN,2,ALIMENTOS,258,AMIDO/FECULA/POLVILHO,,294,NEVE,2,1,0.5
779,FARINHA TRIGO PIZZA,5X5KG,FD,2,ALIMENTOS,268,FARINHA/FARINACEOS,,416,SUPREMA,1,5,5.0
785,AO LEITE/BCO MINI,500G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,500G - MINI,262,"CHOCO POWER BALL,CHOCO BALL POWER",2,1,0.5
788,POLVILHO AZEDO,500G,UN,2,ALIMENTOS,258,AMIDO/FECULA/POLVILHO,,334,PRATA,2,1,0.5
789,SAGU,500G,UN,2,ALIMENTOS,240,CEREAL,,334,PRATA,2,1,0.5
801,EXTRATO TOMATE ,"4,1KG",UN,2,ALIMENTOS,212,ATOMATADO/CATCHUP,,336,PREDILECTA,2,1,4.1
803,GOIABADA CREMOSA ,"2,5KG",UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,,336,PREDILECTA,2,1,2.5
805,MOLHO TOMATE REFOG.,"4,1KG",UN,2,ALIMENTOS,212,ATOMATADO/CATCHUP,,336,PREDILECTA,2,1,4.1
812,"ALCOOL 92,8º",12X500ML,CX,5,LIMPEZA,530,ALCOOL,12X500ML,20,ARAUCARIA,3,12,0.5
820,HAMBURG.ISOP.03,C/400,FD,6,EMBALAGENS/DESCARTAVEIS,614,LANCHEIRA ISOPOR,"COMP 16,2 LARG 16,2 ALT 8,6CM - CAP.500G",110,COPOBRAS,1,400,1.0
825,BAND.ISOP.01 RASA CRL01,C/400,FD,6,EMBALAGENS/DESCARTAVEIS,616,BANDEJA DESCARTAVEL,"ALT 1,8 LARG 15 COMP 15CM ",110,COPOBRAS,1,400,1.0
826,BAND.ISOP.02 RASA CRL02,C/400,FD,6,EMBALAGENS/DESCARTAVEIS,616,BANDEJA DESCARTAVEL,"ALT 1,8 LARG 14 COMP 21CM",110,COPOBRAS,1,400,1.0
827,BAND.ISOP.03 RASA CRL03,C/400,FD,6,EMBALAGENS/DESCARTAVEIS,616,BANDEJA DESCARTAVEL,"ALT 1,6 LARG 18 COMP 23,5CM",110,COPOBRAS,1,400,1.0
829,BAND.ISOP.04 RASA CRL04,C/400,FD,6,EMBALAGENS/DESCARTAVEIS,616,BANDEJA DESCARTAVEL,"ALT 1,4 LARG 15 COMP 27,5CM",110,COPOBRAS,1,400,1.0
835,ARROZ PARBOILIZADO ,6X5KG,FD,2,ALIMENTOS,260,ARROZ,6X5KG,67,BURITI,1,6,5.0
836,ARROZ BRANCO,6X5KG,FD,2,ALIMENTOS,260,ARROZ,6X5KG,67,BURITI,1,6,5.0
837,ARROZ PARBOILIZADO ,6X5KG,FD,2,ALIMENTOS,260,ARROZ,6X5KG,452,URBANO,1,6,5.0
838,ARROZ BRANCO ,6X5KG,FD,2,ALIMENTOS,260,ARROZ,6X5KG,452,URBANO,1,6,5.0
847,CALDO GALINHA,"1,02KG",UN,2,ALIMENTOS,218,CALDO/AMACIANTE,DILUIÇAO: AGUA - RENDE 51 LITROS,307,NUTRIMENTAL,2,1,1.02
852,MOLHO AGRIDOCE,250ML,UN,2,ALIMENTOS,206,MOLHO,,271,MITSUWA,2,1,0.25
862,COLHER PL.SOBR.BRANCA GRANEL 610,C/1000,CX,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,C/1000-CSB61,408,"STRAWPLAST,STRAW.",3,1000,1.0
870,FERMENTO QUIMICO,1KG,UN,2,ALIMENTOS,270,FERMENTO,1KG,21,ARCOLOR,2,1,1.0
871,CHOC. GRANUL.CROCANTE,"1,01KG",UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,"1,01KG",262,MAVALERIO,2,1,1.01
874,FARINHA TRIGO PASTEL,5X5KG,FD,2,ALIMENTOS,268,FARINHA/FARINACEOS,5X5KG,416,SUPREMA,1,5,5.0
877,PANO CHAO ALVEJADO FINO 40X65CM C/10,C/10UN,FD,5,LIMPEZA,532,PANO CHAO/PRATO,C/10UN,260,MARTINS,1,10,1.0
878,PANO FLANELA LARANJA 28X38CM,C/12UN,PT,5,LIMPEZA,532,PANO CHAO/PRATO,12UN,260,MARTINS,7,12,1.0
885,CANUDO PL.SACHE PRETO DOBR.6MM 21C,C/100,PT,6,EMBALAGENS/DESCARTAVEIS,610,CANUDO,C/100 - 6MM,408,"STRAWPLAST,STRAW.",7,100,1.0
887,CANUDO PL.SACHE NEON DOBR.6MM 21C,C/100,PT,6,EMBALAGENS/DESCARTAVEIS,610,CANUDO,C/100 - 6MM,408,"STRAWPLAST,STRAW.",7,100,1.0
889,VODKA,600ML,UN,1,BEBIDAS,10,VODKA NACIONAL,600ML,396,SMIRNOFF,2,1,0.6
891,COND. ALHO TRIT. SACHE,1KG,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,,5,"ALDEIA DA SERRA,ALDEIA SERRA",2,1,1.0
905,ACUCAR LIGHT,500G,UN,2,ALIMENTOS,254,ACUCAR,500G,450,UNIAO,2,1,0.5
906,ACUCAR ORGANICO CRISTAL,1KG,UN,2,ALIMENTOS,254,ACUCAR,1KG,450,UNIAO,2,1,1.0
907,ACUCAR DEMERARA UMIDO CARAMELO,1KG,UN,2,ALIMENTOS,254,ACUCAR,1KG,450,UNIAO,2,1,1.0
909,ACUCAR SACHE DIET SUCRALOSE,"400X0,6G",CX,2,ALIMENTOS,254,ACUCAR,,450,UNIAO,3,400,0.0006
910,ACUCAR REFINADO ,1KG,UN,2,ALIMENTOS,254,ACUCAR,1KG,450,UNIAO,2,1,1.0
934,AMENDOIM TORRADO GRANULADO,1KG,UN,2,ALIMENTOS,240,CEREAL,,695,ANDREIA,2,1,1.0
937,TOUCA TNT SANFONADA,C/100,PT,6,EMBALAGENS/DESCARTAVEIS,638,TOUCA DESCARTAVEL,C/100 - 19 POLEGADAS ,421,TALGE,7,100,1.0
940,AGUA SANITARIA,6X2L,CX,5,LIMPEZA,502,AGUA SANITARIA/ALVEJANTE,6X2L,347,"QBOA,Q.BOA",3,6,2.0
941,AGUA SANITARIA 2L VERDE,6X2L,CX,5,LIMPEZA,502,AGUA SANITARIA/ALVEJANTE,6X2L,177,"GIRANDO SOL,GIR.SOL",3,6,2.0
951,TOALHA PAPEL 12X2X200 TOALHAS,12X2 ROLOS,FD,6,EMBALAGENS/DESCARTAVEIS,650,TOALHA PAPEL,2 ROLOS COM 100 FOLHAS EM CADA,47,BOB,1,12,1.0
952,TOALHA PAPEL 12X2X50 TOALHAS,12X2 ROLOS,FD,6,EMBALAGENS/DESCARTAVEIS,650,TOALHA PAPEL,2 ROLOS COM 50 FOLHAS EM CADA,98,CLARYS,1,12,1.0
956,CREME DE LEITE LATA 20%,300G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,,290,NESTLE,2,1,0.3
965,PALMITO INTEIRO PUPUNHA,300G,UN,2,ALIMENTOS,204,CONSERVA SALGADA/ENLATADOS,300G,278,MOSER,2,1,0.3
971,WHISKY,1L,UN,1,BEBIDAS,4,WHISKY IMPORTADO,1L,463,WILLIAM LAWSONS,2,1,1.0
980,ESPUM BRUT BRANCA,660ML,UN,1,BEBIDAS,40,ESPUMANTE,660ML,369,"SAINT GERMAIN,ST.GERMAIN",2,1,0.66
981,ESPUM DEMI-SEC BRANCA ,660ML,UN,1,BEBIDAS,40,ESPUMANTE,660ML,369,"SAINT GERMAIN,ST.GERMAIN",2,1,0.66
993,CANUDO PL.SACHE MEXEDOR BRANCO 6MM 17,C/100,PT,6,EMBALAGENS/DESCARTAVEIS,610,CANUDO,C/100 - 6MM,408,"STRAWPLAST,STRAW.",7,100,1.0
997,COPO LONG DRINK CRISTAL 340ML,C/10,PT,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,C/10-CPS0340,408,"STRAWPLAST,STRAW.",7,10,1.0
998,MEXEDOR GRANDE 11CM CRISTAL,C/240,PT,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,C/240-MSG801,408,"STRAWPLAST,STRAW.",7,240,1.0
1005,PALMITO PICADO PUPUNHA,300G,UN,2,ALIMENTOS,204,CONSERVA SALGADA/ENLATADOS,300G,278,MOSER,2,1,0.3
1008,EMB.CRISTAL BIP08 RET.PEQU.BAIXA,C/100,CX,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,"COMP 19 LARG 12 ALT 4,9CM",40,"BIPACK,BP",3,100,1.0
1013,EMB.CRISTAL BIP13 RET.DOCE/SALGAD,C/100,CX,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,"COMP 20 LARG 14,5 ALT 7,8CM",40,"BIPACK,BP",3,100,1.0
1018,EMB.CRISTAL BIP18 RET.DOCE/SALDAD,C/100,CX,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,"COMP 23,5 LARG 17 ALT 7,8CM",40,"BIPACK,BP",3,100,1.0
1035,CORANTE PO VERMELHO,100G,UN,2,ALIMENTOS,284,CORANTE/ESSENCIA,100G,21,ARCOLOR,2,1,0.1
1044,PIPOCA MICR. BACON,90G,UN,2,ALIMENTOS,240,CEREAL,90G,393,SINHA,2,1,0.09
1048,PIPOCA MICR. MANTEIGA C/S,90G,UN,2,ALIMENTOS,240,CEREAL,90G,393,SINHA,2,1,0.09
1049,PIPOCA MICR. NATURAL C/S,90G,UN,2,ALIMENTOS,240,CEREAL,90G,393,SINHA,2,1,0.09
1053,MILHO PIPOCA GRAO ,500G,UN,2,ALIMENTOS,240,CEREAL,500G,393,SINHA,2,1,0.5
1054,ACUCAR REFINADO,5X5KG,FD,2,ALIMENTOS,254,ACUCAR,5X5KG,120,"DA BARRA,DABARRA",1,5,5.0
1055,ESPONJA FIBRA NAO RISCA 110X225MM,C/2,UN,5,LIMPEZA,520,ESPONJA,,477,"3M,SCOTCH-BRITE",2,2,1.0
1056,EMB.CRISTAL BIP56A TORTA BRANCA,C/50,CX,6,EMBALAGENS/DESCARTAVEIS,602,DESCARTAVEL,"ALT 11,8 LARG 29,3CM - BASE BRANCA",40,"BIPACK,BP",3,50,1.0
1058,ACUCAR CRISTAL ,10X1KG,FD,2,ALIMENTOS,254,ACUCAR,10X1KG,450,UNIAO,1,10,1.0
1062,VODKA RED BERRY (FRA),750ML,UN,1,BEBIDAS,8,VODKA IMPORTADA,750ML,97,CIROC,2,1,0.75
1065,GUARDAN.SACHE 21X29CM,1000X2UN,CX,6,EMBALAGENS/DESCARTAVEIS,640,GUARDANAPO,,366,"ROSA,ROS",3,2000,1.0
1071,PUDIM CARAMELO C/LEITE,520G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,"DILUIÇAO: AGUA - RENDE 3,2 LITROS",307,NUTRIMENTAL,2,1,0.52
1072,PUDIM CHOCOLATE C/LEITE,520G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,"DILUIÇAO: AGUA - RENDE 3,2 LITROS",307,NUTRIMENTAL,2,1,0.52
1073,PUDIM COCO C/LEITE,520G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,"DILUIÇAO: AGUA - RENDE 3,2 LITROS",307,NUTRIMENTAL,2,1,0.52
1074,PUDIM BAUNILHA C/LEITE,520G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,"DILUIÇAO: AGUA - RENDE 3,2 LITROS",307,NUTRIMENTAL,2,1,0.52
1075,PUDIM MORANGO C/LEITE,520G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,"DILUIÇAO: AGUA - RENDE 3,2 LITROS",307,NUTRIMENTAL,2,1,0.52
1084,TOMATE SECO SACHE,"1,01KG",UN,2,ALIMENTOS,204,CONSERVA SALGADA/ENLATADOS,,15,ANDALUZIA,2,1,1.01
1099,CAFE TRADICIONAL,500G,UN,2,ALIMENTOS,262,CAFE,500G,69,CABOCLO,2,1,0.5
1100,ESPONJA LA DE ACO ECO,10X14UN,FD,5,LIMPEZA,520,ESPONJA,10X16UN - 60G,704,BOMBRIL,1,140,1.0
1102,BARRA CEREAL AVEIA/BANANA/MEL,24X22G,DP,3,BOMBONIERI,314,CEREAL BARRA,,308,NUTRY,9,24,0.022
1103,BARRA CEREAL MORANGO C/CHOC.,24X22G,DP,3,BOMBONIERI,314,CEREAL BARRA,,308,NUTRY,9,24,0.022
1115,CACAU PO 100% CACAU ALCALINO,500G,UN,2,ALIMENTOS,234,CREMES/SOBREMESA/LEITE COND,,265,MELKEN,2,1,0.5
1122,WHISKY SILVER,1L,UN,1,BEBIDAS,4,WHISKY IMPORTADO,1L,311,OLD PARR,2,1,1.0
1124,RUM 23 IMP.,750ML,UN,1,BEBIDAS,12,RUM,750ML,471,ZACAPA,2,1,0.75
1148,DESINF. PINHO LAVANDA,12X500ML,CX,5,LIMPEZA,526,DESINFETANTE,12X500ML,469,YPE,3,12,0.5
1157,MARMITA ALUM. 480ML W7,C/100,CX,6,EMBALAGENS/DESCARTAVEIS,612,MARMITEX/BANDEJA,,466,WYDA,3,100,1.0
1168,DE UVA INTEGRAL,500ML,UN,1,BEBIDAS,88,SUCO PRONTO,500ML,26,AURORA,2,1,0.5
